reason; destination_file; list_of_source_files
migrate;temp_merge/Polaris_01n_0128a/qsub.batch;['stage/Polaris_01n_0128a/qsub.batch']
migrate;temp_merge/Polaris_01n_0128a/worker4/tmp_files/3021.sh;['stage/Polaris_01n_0128a/worker4/tmp_files/3021.sh']
migrate;temp_merge/Polaris_01n_0128a/worker4/tmp_files/9118.sh;['stage/Polaris_01n_0128a/worker4/tmp_files/9118.sh']
migrate;temp_merge/Polaris_01n_0128a/worker4/tmp_files/7028.sh;['stage/Polaris_01n_0128a/worker4/tmp_files/7028.sh']
migrate;temp_merge/Polaris_01n_0128a/worker4/tmp_files/1804.sh;['stage/Polaris_01n_0128a/worker4/tmp_files/1804.sh']
migrate;temp_merge/Polaris_01n_0128a/worker4/tmp_files/4136.sh;['stage/Polaris_01n_0128a/worker4/tmp_files/4136.sh']
migrate;temp_merge/Polaris_01n_0128a/worker4/tmp_files/4831.sh;['stage/Polaris_01n_0128a/worker4/tmp_files/4831.sh']
migrate;temp_merge/Polaris_01n_0128a/worker4/tmp_files/2203.sh;['stage/Polaris_01n_0128a/worker4/tmp_files/2203.sh']
migrate;temp_merge/Polaris_01n_0128a/worker4/tmp_files/7902.sh;['stage/Polaris_01n_0128a/worker4/tmp_files/7902.sh']
migrate;temp_merge/Polaris_01n_0128a/worker4/tmp_files/840.sh;['stage/Polaris_01n_0128a/worker4/tmp_files/840.sh']
migrate;temp_merge/Polaris_01n_0128a/worker4/tmp_files/3669.sh;['stage/Polaris_01n_0128a/worker4/tmp_files/3669.sh']
migrate;temp_merge/Polaris_01n_0128a/worker4/tmp_files/160.sh;['stage/Polaris_01n_0128a/worker4/tmp_files/160.sh']
migrate;temp_merge/Polaris_01n_0128a/worker4/tmp_files/7750.sh;['stage/Polaris_01n_0128a/worker4/tmp_files/7750.sh']
migrate;temp_merge/Polaris_01n_0128a/worker4/tmp_files/5361.sh;['stage/Polaris_01n_0128a/worker4/tmp_files/5361.sh']
migrate;temp_merge/Polaris_01n_0128a/worker4/tmp_files/5071.sh;['stage/Polaris_01n_0128a/worker4/tmp_files/5071.sh']
migrate;temp_merge/Polaris_01n_0128a/worker4/tmp_files/583.sh;['stage/Polaris_01n_0128a/worker4/tmp_files/583.sh']
migrate;temp_merge/Polaris_01n_0128a/worker4/tmp_files/3207.sh;['stage/Polaris_01n_0128a/worker4/tmp_files/3207.sh']
migrate;temp_merge/Polaris_01n_0128a/worker4/tmp_files/2435.sh;['stage/Polaris_01n_0128a/worker4/tmp_files/2435.sh']
migrate;temp_merge/Polaris_01n_0128a/worker4/tmp_files/8971.sh;['stage/Polaris_01n_0128a/worker4/tmp_files/8971.sh']
migrate;temp_merge/Polaris_01n_0128a/worker4/tmp_files/6400.sh;['stage/Polaris_01n_0128a/worker4/tmp_files/6400.sh']
migrate;temp_merge/Polaris_01n_0128a/worker4/tmp_files/2435_0.log;['stage/Polaris_01n_0128a/worker4/tmp_files/2435_0.log']
migrate;temp_merge/Polaris_01n_0128a/worker4/tmp_files/3207_0.log;['stage/Polaris_01n_0128a/worker4/tmp_files/3207_0.log']
migrate;temp_merge/Polaris_01n_0128a/worker4/tmp_files/6400_0.log;['stage/Polaris_01n_0128a/worker4/tmp_files/6400_0.log']
migrate;temp_merge/Polaris_01n_0128a/worker4/tmp_files/8971_0.log;['stage/Polaris_01n_0128a/worker4/tmp_files/8971_0.log']
migrate;temp_merge/Polaris_01n_0128a/worker4/tmp_files/583_0.log;['stage/Polaris_01n_0128a/worker4/tmp_files/583_0.log']
migrate;temp_merge/Polaris_01n_0128a/worker4/tmp_files/5071_0.log;['stage/Polaris_01n_0128a/worker4/tmp_files/5071_0.log']
migrate;temp_merge/Polaris_01n_0128a/worker4/tmp_files/3021_0.log;['stage/Polaris_01n_0128a/worker4/tmp_files/3021_0.log']
migrate;temp_merge/Polaris_01n_0128a/worker4/tmp_files/9118_0.log;['stage/Polaris_01n_0128a/worker4/tmp_files/9118_0.log']
migrate;temp_merge/Polaris_01n_0128a/worker4/tmp_files/7750_0.log;['stage/Polaris_01n_0128a/worker4/tmp_files/7750_0.log']
migrate;temp_merge/Polaris_01n_0128a/worker4/tmp_files/7902_0.log;['stage/Polaris_01n_0128a/worker4/tmp_files/7902_0.log']
