reason; destination_file; list_of_source_files
migrate;s3/ensemble.log;['s2/ensemble.log']
migrate;s3/qsub.batch;['s2/qsub.batch']
migrate;s3/worker4/tmp_files/2083.sh;['s2/worker4/tmp_files/2083.sh']
migrate;s3/worker4/tmp_files/1716.sh;['s2/worker4/tmp_files/1716.sh']
migrate;s3/worker4/tmp_files/4356.sh;['s2/worker4/tmp_files/4356.sh']
migrate;s3/worker4/tmp_files/6175.sh;['s2/worker4/tmp_files/6175.sh']
migrate;s3/worker4/tmp_files/5589.sh;['s2/worker4/tmp_files/5589.sh']
migrate;s3/worker4/tmp_files/7398.sh;['s2/worker4/tmp_files/7398.sh']
migrate;s3/worker4/tmp_files/2679.sh;['s2/worker4/tmp_files/2679.sh']
migrate;s3/worker4/tmp_files/1032.sh;['s2/worker4/tmp_files/1032.sh']
migrate;s3/worker4/tmp_files/6335.sh;['s2/worker4/tmp_files/6335.sh']
migrate;s3/worker4/tmp_files/2640.sh;['s2/worker4/tmp_files/2640.sh']
migrate;s3/worker4/tmp_files/7672.sh;['s2/worker4/tmp_files/7672.sh']
migrate;s3/worker4/tmp_files/4572.sh;['s2/worker4/tmp_files/4572.sh']
migrate;s3/worker4/tmp_files/1575.sh;['s2/worker4/tmp_files/1575.sh']
migrate;s3/worker4/tmp_files/4507.sh;['s2/worker4/tmp_files/4507.sh']
migrate;s3/worker4/tmp_files/5269.sh;['s2/worker4/tmp_files/5269.sh']
migrate;s3/worker4/tmp_files/2490.sh;['s2/worker4/tmp_files/2490.sh']
migrate;s3/worker4/tmp_files/8423.sh;['s2/worker4/tmp_files/8423.sh']
migrate;s3/worker4/tmp_files/1362.sh;['s2/worker4/tmp_files/1362.sh']
migrate;s3/worker4/tmp_files/4603.sh;['s2/worker4/tmp_files/4603.sh']
migrate;s3/worker4/tmp_files/8062.sh;['s2/worker4/tmp_files/8062.sh']
migrate;s3/worker4/tmp_files/6247.sh;['s2/worker4/tmp_files/6247.sh']
migrate;s3/worker4/tmp_files/4470.sh;['s2/worker4/tmp_files/4470.sh']
migrate;s3/worker4/tmp_files/160.sh;['s2/worker4/tmp_files/160.sh']
migrate;s3/worker4/tmp_files/2845.sh;['s2/worker4/tmp_files/2845.sh']
migrate;s3/worker4/tmp_files/3472.sh;['s2/worker4/tmp_files/3472.sh']
migrate;s3/worker4/tmp_files/2048.sh;['s2/worker4/tmp_files/2048.sh']
migrate;s3/worker4/tmp_files/9868.sh;['s2/worker4/tmp_files/9868.sh']
migrate;s3/worker4/tmp_files/7594.sh;['s2/worker4/tmp_files/7594.sh']
migrate;s3/worker4/tmp_files/6964.sh;['s2/worker4/tmp_files/6964.sh']
migrate;s3/worker4/tmp_files/7031.sh;['s2/worker4/tmp_files/7031.sh']
