reason; destination_file; list_of_source_files
migrate;s3/ensemble_v0.log;['s2/ensemble.log']
migrate;s3/qsub.batch;['s2/qsub.batch']
migrate;s3/worker4/tmp_files/695.sh;['s2/worker4/tmp_files/695.sh']
migrate;s3/worker4/tmp_files/2729.sh;['s2/worker4/tmp_files/2729.sh']
migrate;s3/worker4/tmp_files/10.sh;['s2/worker4/tmp_files/10.sh']
migrate;s3/worker4/tmp_files/5657.sh;['s2/worker4/tmp_files/5657.sh']
migrate;s3/worker4/tmp_files/9690.sh;['s2/worker4/tmp_files/9690.sh']
migrate;s3/worker4/tmp_files/3590.sh;['s2/worker4/tmp_files/3590.sh']
migrate;s3/worker4/tmp_files/9445.sh;['s2/worker4/tmp_files/9445.sh']
migrate;s3/worker4/tmp_files/5644.sh;['s2/worker4/tmp_files/5644.sh']
migrate;s3/worker4/tmp_files/5168.sh;['s2/worker4/tmp_files/5168.sh']
migrate;s3/worker4/tmp_files/5772.sh;['s2/worker4/tmp_files/5772.sh']
migrate;s3/worker4/tmp_files/7627.sh;['s2/worker4/tmp_files/7627.sh']
migrate;s3/worker4/tmp_files/2521.sh;['s2/worker4/tmp_files/2521.sh']
migrate;s3/worker4/tmp_files/2090.sh;['s2/worker4/tmp_files/2090.sh']
migrate;s3/worker4/tmp_files/7888.sh;['s2/worker4/tmp_files/7888.sh']
migrate;s3/worker4/tmp_files/9986.sh;['s2/worker4/tmp_files/9986.sh']
migrate;s3/worker4/tmp_files/8797.sh;['s2/worker4/tmp_files/8797.sh']
migrate;s3/worker4/tmp_files/4915.sh;['s2/worker4/tmp_files/4915.sh']
migrate;s3/worker4/tmp_files/676.sh;['s2/worker4/tmp_files/676.sh']
migrate;s3/worker4/tmp_files/6336.sh;['s2/worker4/tmp_files/6336.sh']
migrate;s3/worker4/tmp_files/1912.sh;['s2/worker4/tmp_files/1912.sh']
migrate;s3/worker4/tmp_files/7034.sh;['s2/worker4/tmp_files/7034.sh']
migrate;s3/worker4/tmp_files/5373.sh;['s2/worker4/tmp_files/5373.sh']
migrate;s3/worker4/tmp_files/1757.sh;['s2/worker4/tmp_files/1757.sh']
migrate;s3/worker4/tmp_files/7227.sh;['s2/worker4/tmp_files/7227.sh']
migrate;s3/worker4/tmp_files/2165.sh;['s2/worker4/tmp_files/2165.sh']
migrate;s3/worker4/tmp_files/8193.sh;['s2/worker4/tmp_files/8193.sh']
migrate;s3/worker4/tmp_files/1228.sh;['s2/worker4/tmp_files/1228.sh']
migrate;s3/worker4/tmp_files/7588.sh;['s2/worker4/tmp_files/7588.sh']
migrate;s3/worker4/tmp_files/2686.sh;['s2/worker4/tmp_files/2686.sh']
migrate;s3/worker4/tmp_files/7518.sh;['s2/worker4/tmp_files/7518.sh']
migrate;s3/worker4/tmp_files/7774.sh;['s2/worker4/tmp_files/7774.sh']
migrate;s3/worker4/tmp_files/1204.sh;['s2/worker4/tmp_files/1204.sh']
migrate;s3/worker4/tmp_files/9423.sh;['s2/worker4/tmp_files/9423.sh']
migrate;s3/worker4/tmp_files/1133.sh;['s2/worker4/tmp_files/1133.sh']
migrate;s3/worker4/tmp_files/3943.sh;['s2/worker4/tmp_files/3943.sh']
migrate;s3/worker4/tmp_files/9805.sh;['s2/worker4/tmp_files/9805.sh']
migrate;s3/worker4/tmp_files/5697.sh;['s2/worker4/tmp_files/5697.sh']
migrate;s3/worker4/tmp_files/495.sh;['s2/worker4/tmp_files/495.sh']
migrate;s3/worker4/tmp_files/6209.sh;['s2/worker4/tmp_files/6209.sh']
migrate;s3/worker4/tmp_files/2364.sh;['s2/worker4/tmp_files/2364.sh']
migrate;s3/worker4/tmp_files/5990.sh;['s2/worker4/tmp_files/5990.sh']
migrate;s3/worker4/tmp_files/2492.sh;['s2/worker4/tmp_files/2492.sh']
migrate;s3/worker4/tmp_files/5606.sh;['s2/worker4/tmp_files/5606.sh']
migrate;s3/worker4/tmp_files/5893.sh;['s2/worker4/tmp_files/5893.sh']
migrate;s3/worker4/tmp_files/3266.sh;['s2/worker4/tmp_files/3266.sh']
migrate;s3/worker4/tmp_files/5666.sh;['s2/worker4/tmp_files/5666.sh']
migrate;s3/worker4/tmp_files/3191.sh;['s2/worker4/tmp_files/3191.sh']
migrate;s3/worker4/tmp_files/4828.sh;['s2/worker4/tmp_files/4828.sh']
migrate;s3/worker4/tmp_files/495_0.log;['s2/worker4/tmp_files/495_0.log']
migrate;s3/worker4/tmp_files/9986_0.log;['s2/worker4/tmp_files/9986_0.log']
migrate;s3/worker4/tmp_files/5772_0.log;['s2/worker4/tmp_files/5772_0.log']
migrate;s3/worker4/tmp_files/2165_0.log;['s2/worker4/tmp_files/2165_0.log']
migrate;s3/worker4/tmp_files/5168_0.log;['s2/worker4/tmp_files/5168_0.log']
