reason; destination_file; list_of_source_files
migrate;temp_merge/Polaris_01n_0512a/ensemble_v0.log;['stage/Polaris_01n_0512a/ensemble.log']
migrate;temp_merge/Polaris_01n_0512a/qsub.batch;['stage/Polaris_01n_0512a/qsub.batch']
migrate;temp_merge/Polaris_01n_0512a/worker4/tmp_files/5843.sh;['stage/Polaris_01n_0512a/worker4/tmp_files/5843.sh']
migrate;temp_merge/Polaris_01n_0512a/worker4/tmp_files/92.sh;['stage/Polaris_01n_0512a/worker4/tmp_files/92.sh']
migrate;temp_merge/Polaris_01n_0512a/worker4/tmp_files/3114.sh;['stage/Polaris_01n_0512a/worker4/tmp_files/3114.sh']
migrate;temp_merge/Polaris_01n_0512a/worker4/tmp_files/2091.sh;['stage/Polaris_01n_0512a/worker4/tmp_files/2091.sh']
migrate;temp_merge/Polaris_01n_0512a/worker4/tmp_files/5916.sh;['stage/Polaris_01n_0512a/worker4/tmp_files/5916.sh']
migrate;temp_merge/Polaris_01n_0512a/worker4/tmp_files/8667_v0.sh;['stage/Polaris_01n_0512a/worker4/tmp_files/8667.sh']
migrate;temp_merge/Polaris_01n_0512a/worker4/tmp_files/5224.sh;['stage/Polaris_01n_0512a/worker4/tmp_files/5224.sh']
migrate;temp_merge/Polaris_01n_0512a/worker4/tmp_files/7737.sh;['stage/Polaris_01n_0512a/worker4/tmp_files/7737.sh']
migrate;temp_merge/Polaris_01n_0512a/worker4/tmp_files/1831.sh;['stage/Polaris_01n_0512a/worker4/tmp_files/1831.sh']
migrate;temp_merge/Polaris_01n_0512a/worker4/tmp_files/6728.sh;['stage/Polaris_01n_0512a/worker4/tmp_files/6728.sh']
migrate;temp_merge/Polaris_01n_0512a/worker4/tmp_files/344.sh;['stage/Polaris_01n_0512a/worker4/tmp_files/344.sh']
migrate;temp_merge/Polaris_01n_0512a/worker4/tmp_files/3728.sh;['stage/Polaris_01n_0512a/worker4/tmp_files/3728.sh']
migrate;temp_merge/Polaris_01n_0512a/worker4/tmp_files/8952.sh;['stage/Polaris_01n_0512a/worker4/tmp_files/8952.sh']
migrate;temp_merge/Polaris_01n_0512a/worker4/tmp_files/4475.sh;['stage/Polaris_01n_0512a/worker4/tmp_files/4475.sh']
migrate;temp_merge/Polaris_01n_0512a/worker4/tmp_files/1271.sh;['stage/Polaris_01n_0512a/worker4/tmp_files/1271.sh']
migrate;temp_merge/Polaris_01n_0512a/worker4/tmp_files/2915.sh;['stage/Polaris_01n_0512a/worker4/tmp_files/2915.sh']
migrate;temp_merge/Polaris_01n_0512a/worker4/tmp_files/1366.sh;['stage/Polaris_01n_0512a/worker4/tmp_files/1366.sh']
migrate;temp_merge/Polaris_01n_0512a/worker4/tmp_files/1440.sh;['stage/Polaris_01n_0512a/worker4/tmp_files/1440.sh']
migrate;temp_merge/Polaris_01n_0512a/worker4/tmp_files/6348.sh;['stage/Polaris_01n_0512a/worker4/tmp_files/6348.sh']
migrate;temp_merge/Polaris_01n_0512a/worker4/tmp_files/4393.sh;['stage/Polaris_01n_0512a/worker4/tmp_files/4393.sh']
migrate;temp_merge/Polaris_01n_0512a/worker4/tmp_files/342.sh;['stage/Polaris_01n_0512a/worker4/tmp_files/342.sh']
migrate;temp_merge/Polaris_01n_0512a/worker4/tmp_files/7160.sh;['stage/Polaris_01n_0512a/worker4/tmp_files/7160.sh']
